id,name,brand,category,inspiredBy,notes,icon,tags
1,Satin Body Oud,ABDUL SAMAD AL QURASH,Nicho,,"bergamota,lavanda, flor de laranjeira, jasmin, mandarina, pêra, oud cedro, pachouli, vetiver, baunilha,âmbar",🍐🌼🪵,primavera;outono;inverno;noite
2,Modest une,Afnan,CT Árabe,Dior Sauvage EDT,"Bergamota, pimenta, lavanda, ambroxan, vetiver, cedro",🌊💨🌿,primavera;verao;outono;dia;noite
3,9.AM,Afnan,CT Árabe,Bleu de Chanel + Y,"limão, Hortelã, groselha preta , pimenta rosa, maçã, cedro, incenso, gengibre, sândalo, patchouli, jasmin",🍋🍏🫚,primavera;verao;outono;inverno;dia;noite
4,Supremacy Collector's Edition Pour Homme,Afnan,CT Árabe,Aventus Absolu - Creed,"Abacaxi, bergamota, bétula, patchouli, almíscar, âmbar, musgo de carvalho, âmbar cinzento",🍍🌲👑,primavera;verao;outono;dia;noite
5,Armani Code EDT - 2023,Armani,Importado design,,"Mandarina,Lavanda,Fava tonka, Cedro",🍋🪻💼,primavera;verao;outono;inverno;dia;noite
6,Habanera Black,Aurora Scents,CT Árabe,Vibrato + Tygar - Sospiro,"Toranja,gengibre, bergamota,mandarina,cedro, jasmin, raiz de orris, rosa, almiscar, acorde amadeirado",🍊🫚🪵,primavera;verao;outono;dia;noite
7,Be Intense,Azza parfums,Contratipo,Y EDP Intense - Yves Saint Laurent,"Maçã, salva, cedro, âmbar, almíscar branco, madeira",🍎🌿⚡,primavera;verao;outono;dia;noite
8,L'home Up,Azza parfums,Contratipo,Prada L'Homme Intense,"Íris, âmbar, sálvia, cedro, sândalo, almíscar",🌸🪵💫,primavera;outono;inverno;noite
9,Lunnari,Azza parfums,Contratipo,Prada Luna Rossa,"Lavanda, toranja, bergamota, almíscar, labdano, madeira",🌕💜🌿,primavera;outono;inverno;dia;noite
10,Audacity,Azza parfums,Contratipo,Imagination - Louis Vuitton,"Cítrico, notas aquáticas, cedro, almíscar, âmbar cinza",💡🌊🍊,primavera;outono;dia;noite
11,Boise Premium,Azza parfums,Contratipo,Cedrat Boise Intense - Mancera,"Cedro, limão, almíscar, âmbar, sândalo, patchouli",🌲🍋🤎,primavera;outono;inverno;dia;noite
